基金代码,基金类型,管理费率,托管费率,最新资产规模,披露日,2015_收益,2016_收益,2017_收益,2018_收益,2019_收益,2020_收益,2021_收益,2022_收益,2023_收益,2024_收益,2015_规模,2016_规模,2017_规模,2018_规模,2019_规模,2020_规模,2021_规模,2022_规模,2023_规模,2024_规模
000554,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,1.22亿元,缺失,56.5,41.1,63.8,20.1,53.0,113.9,147.0,119.6,107.2,109.48,,,,,,,,,,
000556,混合型-灵活发行日期,0.60%（每年）,0.10%（每年）,0.28亿元,缺失,33.6,25.0,37.7,17.4,69.0,162.5,157.0,141.7,140.6,135.79,,,,,,,,,,
000557,混合型-灵活发行日期,0.60%（每年）,0.10%（每年）,0.33亿元,缺失,32.5,23.2,34.8,14.9,64.9,154.8,148.9,132.5,130.2,125.09,,,,,,,,,,
000559,货币型-普通货币发行日期,0.30%（每年）,0.10%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000560,货币型-普通货币发行日期,0.30%（每年）,0.10%（每年）,1.86亿元,缺失,,,,,,,,,,,,,,,,,,,,
000561,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,10.77亿元,缺失,10.4,7.6,6.1,12.6,14.5,13.0,17.6,20.2,16.0,21.79,,,,,,,,,,
000562,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.09亿元,缺失,9.7,6.5,4.8,12.7,16.5,14.6,18.8,20.9,15.9,21.23,,,,,,,,,,
000563,债券型-长债发行日期,0.65%（每年）,0.18%（每年）,1.87亿元,缺失,,,,,,,,,,,,,,,,,,,,
000564,债券型-长债发行日期,0.65%（每年）,0.18%（每年）,0.56亿元,缺失,6.8,3.1,2.4,10.2,11.6,11.01,12.81,8.11,9.21,10.03,,,,,,,,,,
000565,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,9.72亿元,缺失,,,,,,,,,,,,,,,,,,,,
000566,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,3.61亿元,缺失,113.4,85.0,149.9,89.0,122.1,259.4,250.5,183.1,137.9,117.2,,,,,,,,,,
000567,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.98亿元,缺失,92.7,60.1,88.0,42.7,84.2,180.0,197.9,123.7,78.5,76.2,,,,,,,,,,
000569,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000572,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,2.57亿元,缺失,30.1,26.3,20.6,2.1,14.4,36.3,37.7,31.7,32.0,40.3,,,,,,,,,,
000573,混合型-灵活发行日期,0.80%（每年）,0.15%（每年）,7.75亿元,缺失,8.1,12.8,19.3,21.0,33.7,55.5,65.3,77.1,82.4,119.8,,,,,,,,,,
000574,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,9.20亿元,缺失,71.0,39.6,40.0,0.2,60.7,166.3,177.1,165.5,180.7,217.0,,,,,,,,,,
000575,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000576,货币型-普通货币发行日期,0.14%（每年）,0.05%（每年）,12.52亿元,缺失,,,,,,,,,,,,,,,,,,,,
000577,股票型发行日期,,0.20%（每年）,14.91亿元,缺失,94.4,110.9,192.3,123.4,216.9,385.0,407.9,317.9,246.21,252.04,,,,,,,,,,
000578,债券型-混合二级发行日期,0.40%（每年）,0.10%（每年）,0.17亿元,缺失,,,,,,,,,,,,,,,,,,,,
000579,债券型-混合二级发行日期,0.40%（每年）,0.10%（每年）,0.01亿元,缺失,-9.7,-8.9,-8.96,-16.34,-5.17,-5.87,0.02,-3.48,-2.44,0.36,,,,,,,,,,
000580,货币型-普通货币发行日期,0.14%（每年）,0.05%（每年）,9.55亿元,缺失,,,,,,,,,,,,,,,,,,,,
000581,货币型-普通货币发行日期,0.30%（每年）,0.05%（每年）,798.23亿元,缺失,,,,,,,,,,,,,,,,,,,,
000582,债券型-长债发行日期,0.50%（每年）,0.10%（每年）,100.22亿元,缺失,,,,,,,,,,,,,,,,,,,,
000583,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,0.76亿元,缺失,6.11,1.43,-2.61,3.17,8.98,8.78,14.05,19.76,24.93,31.28,,,,,,,,,,
000584,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,2.03亿元,缺失,81.1,71.2,96.1,83.5,170.1,366.4,538.53,357.59,330.1,370.54,,,,,,,,,,
000585,混合型-绝对收益发行日期,,0.20%（每年）,0.22亿元,缺失,5.3,7.0,8.8,6.6,13.7,25.1,33.0,22.4,18.0,11.4,,,,,,,,,,
000586,股票型发行日期,1.20%（每年）,0.20%（每年）,2.74亿元,缺失,92.8,69.9,46.0,20.8,84.5,139.3,207.6,144.9,113.5,116.7,,,,,,,,,,
000587,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.82亿元,缺失,113.4,59.8,91.4,37.7,86.1,211.4,306.9,211.8,152.9,179.9,,,,,,,,,,
000588,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000589,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,0.66亿元,缺失,62.1,41.2,59.6,23.0,99.4,213.5,239.2,173.1,144.4,159.4,,,,,,,,,,
000590,混合型-灵活发行日期,0.70%（每年）,0.20%（每年）,0.44亿元,缺失,,,,,,,,,,,,,,,,,,,,
000591,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,0.26亿元,缺失,73.9,41.3,56.6,28.4,67.4,141.5,152.7,107.5,77.6,92.8,,,,,,,,,,
000592,股票型发行日期,1.20%（每年）,0.20%（每年）,5.09亿元,缺失,118.5,80.7,129.2,52.1,144.5,393.6,554.1,374.5,259.4,271.0,,,,,,,,,,
000593,指数型-海外股票发行日期,1.20%（每年）,0.20%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000594,股票型发行日期,1.20%（每年）,0.20%（每年）,3.24亿元,缺失,,,,,,,,,,,,,,,,,,,,
000595,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,26.19亿元,缺失,88.1,86.8,137.2,81.3,162.9,348.5,317.2,240.4,166.9,167.1,,,,,,,,,,
000596,指数型-股票发行日期,1.00%（每年）,0.20%（每年）,7.40亿元,缺失,102.5,60.2,34.6,-1.2,22.0,114.6,154.6,93.5,54.3,61.0,,,,,,,,,,
000597,混合型-灵活发行日期,0.80%（每年）,0.20%（每年）,0.99亿元,缺失,10.8,15.6,25.4,11.7,21.8,38.6,43.6,38.7,35.6,37.9,,,,,,,,,,
000598,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,1.23亿元,缺失,63.2,40.1,67.1,35.4,70.3,158.2,242.2,181.4,160.7,199.9,,,,,,,,,,
000599,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,169.57亿元,缺失,,,,,,,,,,,,,,,,,,,,
000600,货币型-普通货币发行日期,0.27%（每年）,0.04%（每年）,133.08亿元,缺失,,,,,,,,,,,,,,,,,,,,
000601,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,6.81亿元,缺失,11.0,-15.0,0.1,-23.5,31.9,157.0,219.7,128.1,103.7,79.3,,,,,,,,,,
000602,货币型-普通货币发行日期,0.14%（每年）,0.05%（每年）,641.58亿元,缺失,,,,,,,,,,,,,,,,,,,,
000603,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,18.20亿元,缺失,28.9,-8.8,-9.0,-31.4,-3.2,67.5,155.9,104.7,48.8,40.5,,,,,,,,,,
000604,货币型-普通货币发行日期,0.15%（每年）,0.10%（每年）,25.33亿元,缺失,,,,,,,,,,,,,,,,,,,,
000605,货币型-普通货币发行日期,0.15%（每年）,0.10%（每年）,96.85亿元,缺失,,,,,,,,,,,,,,,,,,,,
000606,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,247.55亿元,缺失,,,0.52,7.81,5.45,2.65,2.97,2.53,4.11,9.61,,,,,,,,,,
000607,货币型-普通货币发行日期成立日期/规模,0.27%（每年）,0.05%（每年）,330.80亿元,缺失,,,,,,,,,,,,,,,,,,,,
000609,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,1.80亿元,缺失,84.7,66.1,18.5,-11.4,41.6,164.2,204.2,101.4,70.1,71.2,,,,,,,,,,
000612,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,3.89亿元,缺失,107.3,82.3,102.9,45.5,122.7,239.0,362.8,349.0,244.1,204.2,,,,,,,,,,
000613,指数型-股票发行日期,0.50%（每年）,0.10%（每年）,12.08亿元,缺失,62.34,0.02,7.18,-17.76,10.67,34.42,31.46,6.12,-6.91,8.69,,,,,,,,,,
000614,指数型-海外股票发行日期,0.80%（每年）,0.20%（每年）,2.28亿元,缺失,,,,,,,,,,,,,,,,,,,,
000615,货币型-普通货币发行日期,0.27%（每年）,0.06%（每年）,1.11亿元,缺失,,,,,,,,,,,,,,,,,,,,
000618,货币型-普通货币发行日期,0.33%（每年）,0.05%（每年）,135.27亿元,缺失,,,,,,,,,,,,,,,,,,,,
000619,混合型-灵活发行日期,,0.20%（每年）,27.33亿元,缺失,117.0,116.9,230.8,158.4,282.1,436.0,380.6,306.5,308.1,253.5,,,,,,,,,,
000620,货币型-普通货币发行日期,0.14%（每年）,0.05%（每年）,6.79亿元,缺失,,,,,,,,,,,,,,,,,,,,
000621,货币型-普通货币发行日期,0.14%（每年）,0.05%（每年）,804.75亿元,缺失,,,,,,,,,,,,,,,,,,,,
000625,货币型-普通货币发行日期,0.30%（每年）,0.10%（每年）,0.99亿元,缺失,,,,,,,,,,,,,,,,,,,,
000626,货币型-普通货币发行日期,0.15%（每年）,0.05%（每年）,7.39亿元,缺失,,,,,,,,,,,,,,,,,,,,
000627,货币型-普通货币发行日期,0.15%（每年）,0.05%（每年）,31.83亿元,缺失,,,,,,,,,,,,,,,,,,,,
000628,股票型发行日期,1.20%（每年）,0.20%（每年）,123.40亿元,缺失,,,,,,,,,,,,,,,,,,,,
000634,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,5.36亿元,缺失,31.5,5.3,26.6,-6.9,39.6,91.7,61.4,15.6,1.0,-6.7,,,,,,,,,,
000635,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,5.36亿元,缺失,,,,,,,,,,,,,,,,,,,,
