基金代码,基金类型,管理费率,托管费率,最新资产规模,披露日,2015_收益,2016_收益,2017_收益,2018_收益,2019_收益,2020_收益,2021_收益,2022_收益,2023_收益,2024_收益,2015_规模,2016_规模,2017_规模,2018_规模,2019_规模,2020_规模,2021_规模,2022_规模,2023_规模,2024_规模
000351,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,2.48亿元,缺失,4.9,1.1,0.5,4.2,2.2,1.0,2.4,1.3,4.03,11.04,,,,,,,,,,
000352,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.37亿元,缺失,4.7,0.9,0.30000000000000004,4.0,2.0,0.8,2.2,1.1,3.77,10.56,,,,,,,,,,
000354,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,1.33亿元,缺失,,,,,,,,,,,,,,,,,,,,
000355,债券型-混合一级发行日期,0.50%（每年）,0.10%（每年）,6.81亿元,缺失,11.9,9.2,8.5,20.4,25.3,26.71,30.02,27.1,34.92,40.54,,,,,,,,,,
000356,债券型-混合一级发行日期,0.50%（每年）,0.10%（每年）,2.62亿元,缺失,11.4,8.3,7.2,18.4,22.8,24.17,27.04,23.67,30.76,35.65,,,,,,,,,,
000359,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000362,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,13.87亿元,缺失,,,,,,,,,,,,,,,,,,,,
000363,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,7.87亿元,缺失,92.4,18.9,34.0,-0.9,57.9,162.1,217.3,135.6,105.1,86.9,,,,,,,,,,
000366,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,498.98亿元,缺失,,,,,,,,,,,,,,,,,,,,
000367,混合型-偏债发行日期,0.70%（每年）,0.20%（每年）,1.62亿元,缺失,24.6,28.4,40.7,37.7,54.3,82.5,96.2,87.0,80.4,96.2,,,,,,,,,,
000368,指数型-股票发行日期,0.50%（每年）,0.10%（每年）,13.75亿元,缺失,,,,,,,,,,,,,,,,,,,,
000369,指数型-海外股票发行日期,0.80%（每年）,0.20%（每年）,10.27亿元,缺失,30.1,16.9,30.2,39.7,70.1,74.8,101.9,114.7,123.6,127.3,,,,,,,,,,
000370,指数型-海外股票发行日期,0.80%（每年）,0.20%（每年）,10.27亿元,缺失,22.9447852761,3.3742331288,22.2699386503,23.8036809816,49.5705521472,64.3558282209,94.2944785276,89.1411042945,93.6809815951,93.9877300613,,,,,,,,,,
000371,货币型-普通货币发行日期,0.30%（每年）,0.08%（每年）,14.63亿元,缺失,,,,,,,,,,,,,,,,,,,,
000372,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,20.40亿元,缺失,6.6,1.5,0.1,4.1,0.9,5.8,10.2,9.95,15.46,12.77,,,,,,,,,,
000373,指数型-股票发行日期,0.50%（每年）,0.10%（每年）,0.43亿元,缺失,31.6,18.4,40.1,6.8,38.8,104.6,77.4,38.0,24.4,10.1,,,,,,,,,,
000376,指数型-股票发行日期,0.50%（每年）,0.10%（每年）,0.57亿元,缺失,,,,,,,,,,,,,,,,,,,,
